departamento;población
Amazonas;48.144
Antioquia;2.427.129
Arauca;85.585
Atlántico;1.206.319
Bolívar;973.045
Boyacá;172.548
Caldas;434.403
Caquetá;168.346
Casanare;168.433
Cauca;318.059
Chocó;129.237
Córdoba;490.935
Cundinamarca;7.412.566
Cesar;490.075
Guainía;31.514
Guaviare;52.815
Huila;357.392
La Guajira;188.014
Magdalena;499.192
Meta;531.275
Nariño;392.930
Norte de Santander;711.715
Putumayo;56.398
Quindío;295.208
Risaralda;467.269
Archipiélago de San Andrés, Providencia y Santa Catalina;55.291
Santander;581.130
Sucre;277.773
Tolima;529.635
Valle del Cauca;2.227.642
Vaupés;29.850
Vichada;20.936